word,count
,1
Asahikawa,71
shi,1
is,12
a,12
city,17
in,32
Kamikawa,3
Subprefecture,1
Hokkaido,21
Japan,5
It,5
the,42
capital,1
of,33
subprefecture,1
and,25
second,2
largest,1
after,2
Sapporo,1
has,3
been,3
core,1
since,2
April,2
1,4
2000,3
The,11
currently,1
well,3
known,1
for,4
Asahiyama,3
Zoo,3
ramen,1
On,4
July,2
31,2
2011,1
had,1
an,3
estimated,1
population,2
352,1
105,1
with,8
173,1
961,1
households,1
density,1
470,1
96,1
persons,2
per,3
km,1
219,1
8,2
sq,2
mi,2
total,1
area,2
747,1
6,3
km2,1
288,1
joined,1
UNESCO,1
s,4
Network,1
Creative,1
Cities,2
as,12
Design,1
City,4
on,6
October,2
2019,1
occasion,1
World,3
Day,1
Name,1
Ainu,1
called,2
Asahi,3
River,8
Chiu,1
Pet,2
meaning,3
Waves,1
but,3
it,4
was,8
misunderstood,1
Chup,1
Sun,1
so,1
came,1
to,6
be,1
Japanese,5
morning,1
sun,1
Overview,1
August,1
1922,2
founded,1
As,1
central,1
northern,1
influential,1
industry,1
commerce,1
There,1
are,5
about,1
130,1
rivers,1
streams,1
including,2
Ishikari,4
Ch,1
betsu,1
over,3
740,1
bridges,1
Asahibashi,2
bridge,1
one,6
symbols,1
its,3
completion,1
1932,1
also,5
registered,2
Heritage,1
sites,1
22,2
2001,1
Every,1
winter,1
Winter,3
Festival,3
held,1
bank,1
making,1
use,1
cold,2
climate,3
snow,2
January,2
25,2
1902,1
weather,1
station,1
recorded,2
41,3
C,4
F,4
lowest,2
temperature,3
history,2
Due,1
location,1
surrounded,1
by,4
mountains,1
there,2
some,2
ski,1
resorts,1
outskirts,2
History,1
populated,1
mainland,1
Meiji,1
period,1
1868,1
1912,1
tondenhei,1
or,1
state,1
sponsored,1
farmer,1
militia,1
settlement,1
District,1
set,1
up,1
under,2
Province,1
villages,1
Nagayama,5
Kamui,3
1890,1
1900,1
Village,5
becomes,3
town,1
1914,1
Town,5
kuAsahikawa,1
elevated,1
status,1
thrived,1
military,1
before,1
War,2
II,2
when,1
IJA,1
7th,1
Division,2
posted,1
Today,1
2nd,1
Northern,1
Army,1
Ground,1
Self,1
Defense,1
Force,1
headquartered,1
1955,2
Etanbetsu,1
merge,1
1961,2
merged,4
1963,1
Higashi,4
1967,1
opened,4
1968,1
Kagura,2
1971,1
Takasu,1
1972,1
first,2
permanent,1
pedestrian,1
mall,1
Heiwad,1
ri,1
Shopping,1
Park,2
Core,1
Geography,1
Climate,1
hemiboreal,1
humid,2
continental,2
Dfb,1
according,1
K,1
ppen,1
classification,1
winters,1
long,1
below,1
freezing,1
average,2
monthly,1
temperatures,2
from,2
November,1
through,1
March,1
sees,1
extraordinary,1
amount,1
snowfall,1
averaging,1
just,1
7,1
m,1
ft,1
year,1
Summers,1
generally,2
warm,1
high,1
warmest,1
months,1
hovering,1
around,1
26,1
79,1
Spring,1
autumn,1
short,1
transitional,1
coolest,1
cities,5
most,1
ever,1
42,1
colder,1
than,2
other,1
warmer,1
absolute,1
numbers,1
Mount,2
Fuji,2
12,1
1909,1
did,1
not,1
rise,1
above,1
5,1
9,1
being,1
coldest,2
Some,1
sources,1
consider,1
Economy,1
developed,1
industrial,1
center,1
noted,1
lumber,1
brewing,1
industries,1
production,1
furniture,2
paper,1
pulp,1
Education,2
Universities,1
National,2
Medical,1
University,6
Campus,3
Private,2
Tokai,2
Previously,1
Colleges,1
College,1
Technology,1
High,16
schools,1
Public,1
school,2
Kita,3
School,13
Nishi,5
Minami,2
Eiryo,1
Agricultural,1
Nogyo,1
Commercial,1
Shogyo,1
Technical,1
Kogyo,1
Ryukoku,1
Girls,1
Jitsugyo,1
Meisei,1
Ikegami,1
Gakuen,1
Tosei,1
Transportation,1
Airport,3
served,1
which,1
stretches,1
Higashikagura,1
airport,3
proposed,1
Council,1
daily,1
flights,1
Tokyo,2
started,1
1970,1
present,1
terminal,1
class,1
single,1
runway,1
regional,1
serves,1
domestic,1
destinations,2
airlines,1
offer,1
South,2
Korea,2
EVA,1
Air,1
