word,count
,1
Hakodate,98
shi,1
is,33
a,37
city,26
and,50
port,6
located,3
in,69
Oshima,5
Subprefecture,2
Hokkaido,28
Japan,11
It,8
the,154
capital,2
of,94
As,2
July,2
31,1
2011,2
has,7
an,10
estimated,1
population,4
279,1
851,1
with,19
143,1
221,1
households,1
density,1
412,1
83,1
persons,2
per,2
km2,1
1,4
069,1
2,3
sq,2
mi,3
The,33
total,2
area,8
677,1
77,1
square,1
kilometres,1
261,1
69,1
third,1
biggest,2
after,2
Sapporo,2
Asahikawa,1
History,1
was,24
s,16
first,3
whose,1
opened,4
to,45
foreign,6
trade,3
1854,2
as,14
result,1
Convention,2
Kanagawa,2
used,3
be,4
most,2
important,1
northern,2
Also,1
had,5
been,3
before,2
Great,2
Fire,1
1934,2
Pre,1
Meiji,3
restoration,2
like,2
much,2
other,4
parts,2
originally,2
populated,1
by,14
Ainu,8
They,2
lived,1
Peninsula,2
name,2
might,1
originate,1
from,18
word,2
Another,1
possibility,1
that,4
it,6
means,1
box,1
or,4
building,2
Japanese,9
which,13
refers,1
castle,1
built,3
Kono,4
Kano,1
clan,3
fifteenth,1
century,2
founded,2
1454,1
when,5
Kaganokami,1
Masamichi,3
constructed,1
large,1
manor,1
house,2
fishing,1
village,2
Usukeshi,1
for,12
bay,1
After,1
his,4
death,1
son,1
Suemichi,1
family,2
were,8
driven,1
out,1
into,5
nearby,2
Kameda,7
during,7
rebellion,1
1512,1
little,1
history,2
recorded,1
next,1
100,2
years,2
There,2
constant,1
low,2
level,1
conflict,2
peninsula,4
at,2
time,3
armed,1
merchants,1
established,3
bases,1
control,4
region,4
This,3
culminated,1
uprising,1
1669,1
1672,1
led,2
warrior,1
Shakushain,1
suppressed,1
flourished,1
Hoei,1
period,1
1704,1
11,2
many,2
new,2
temples,1
town,2
fortunes,1
received,1
further,1
boost,1
1741,1
Matsumae,2
granted,1
areas,1
on,12
march,1
fief,1
moved,2
its,4
magistracy,2
In,5
1779,1
Tokugawa,4
shogunate,3
took,2
direct,2
over,2
triggered,1
rapid,1
development,1
Merchant,1
Takadaya,1
Kahei,1
who,1
honoured,1
founder,2
set,1
up,2
trading,2
operations,1
included,2
opening,2
Etorofu,1
sea,4
route,1
Kuril,1
island,4
fisheries,1
He,2
credited,2
turning,1
outpost,1
thriving,1
A,3
1802,1
By,1
1807,1
power,1
government,2
extended,1
entire,1
However,1
1821,1
central,3
relaxed,1
their,2
restored,1
full,1
powers,1
they,1
Gallery,3
surveyed,1
fleet,2
five,2
U,3
S,3
ships,2
under,1
conditions,1
negotiated,1
Commodore,1
Matthew,1
Perry,3
partially,1
provisioning,1
following,1
year,3
then,3
completely,1
June,2
1859,1
one,6
open,2
ports,1
designated,2
1858,1
Treaty,2
Amity,1
Commerce,1
signed,1
settlement,1
legacies,1
influence,1
mariner,1
died,1
visit,1
became,2
citizen,1
buried,1
he,2
interred,1
cemetery,1
foreigners,1
British,1
merchant,1
naturalist,1
spy,1
Thomas,1
Blakiston,1
residence,1
summer,3
1861,2
establish,1
saw,1
milling,1
business,1
doing,1
so,2
acquainted,1
western,2
culture,1
stayed,1
until,1
1884,1
documented,1
local,3
natural,1
environment,1
equipped,1
meteorological,1
station,2
ran,1
guns,1
Boshin,3
War,4
rebels,2
few,1
points,1
contact,1
outside,1
world,1
soon,1
host,1
several,2
overseas,1
consulates,1
Russian,1
consulate,1
chapel,1
where,1
Nicholas,1
introducing,1
Eastern,1
Orthodox,4
Christianity,1
now,2
Church,2
church,1
neighbored,1
historical,1
missionary,1
churches,1
including,4
Anglican,1
Catholic,1
also,5
played,1
role,1
between,4
Emperor,1
followed,1
Shogunate,1
rebel,1
Enomoto,1
Takeaki,1
fled,1
remnants,2
navy,2
handful,1
French,2
advisers,1
winter,1
1868,2
Jules,1
Brunet,1
formally,1
Republic,1
Ezo,1
December,2
25,1
republic,1
tried,1
unsuccessfully,1
gather,2
international,1
recognition,1
legations,1
Americans,1
Russians,1
Naval,1
Battle,2
fought,1
4,1
10,3
May,1
1869,2
newly,1
formed,3
Imperial,2
Navy,2
decisive,1
victory,1
On,4
14,2
urban,1
prefecture,1
fu,1
two,3
being,1
Kyoto,1
February,1
8,1
1882,1
enlarged,1
ken,1
part,1
January,2
26,3
1886,1
occupied,1
famous,5
European,1
style,1
Gory,5
kaku,6
fort,3
centre,1
defences,1
southern,1
Government,1
forces,1
defeated,1
secessionists,1
surrendered,1
emperor,1
Military,1
leader,1
Hijikata,1
Toshiz,1
those,1
slain,1
fighting,1
1878,1
Isabella,1
Bird,1
reported,1
her,1
travelogue,1
streets,2
are,7
very,1
wide,1
clean,1
but,7
houses,2
mean,1
looks,1
if,1
just,1
recovered,1
conflagration,1
nothing,1
tinder,1
Stones,1
however,1
prominent,1
feature,1
Looking,1
down,1
upon,1
above,1
you,1
see,2
miles,1
grey,1
boulders,1
realise,1
every,1
roof,1
windy,1
hodden,1
doun,1
weight,1
paving,1
stones,1
20th,1
present,1
day,1
awarded,1
status,1
August,3
1922,1
March,3
21,1
serious,1
fire,1
destroyed,2
around,3
thirds,1
all,2
buildings,1
event,1
residents,1
leaving,1
subsequently,1
depopulating,1
escaped,1
ravages,1
World,1
II,1
Areas,1
yama,2
fortified,1
access,1
restricted,1
public,2
Many,1
prisoners,1
war,1
interned,1
historians,1
record,1
camps,1
subjected,1
Allied,1
bombing,1
raids,1
15,1
1945,1
Around,1
400,2
homes,1
side,2
Aomori,2
ferry,1
attacked,1
passengers,1
killed,1
1976,1
defecting,1
Soviet,1
pilot,1
named,1
Viktor,1
Belenko,1
flew,1
plane,1
civilian,1
airport,1
size,1
nearly,1
doubled,1
2004,1
Minamikayabe,2
Kayabe,1
District,2
towns,2
Esan,1
Toi,2
Todohokke,1
merged,1
Shinkansen,4
line,2
2016,2
undersea,1
Seikan,2
Tunnel,2
rail,2
greatly,1
reduced,1
