word,count
,2
Kushiro,49
shi,1
is,10
a,14
city,7
in,15
Subprefecture,1
on,4
the,46
island,2
of,34
Hokkaido,15
Japan,5
It,4
serves,1
as,11
subprefecture,1
s,2
capital,1
and,14
it,4
most,3
populated,1
eastern,2
part,1
History,1
An,1
Imperial,1
decree,1
July,1
1899,1
established,1
an,4
open,1
port,5
for,6
trading,1
with,5
United,2
States,1
Kingdom,1
has,2
been,1
important,2
because,1
more,1
reliably,2
ice,5
free,2
during,3
winter,4
than,4
alternative,1
Russian,1
Far,1
East,2
warm,1
water,2
ports,2
such,2
Petropavlovsk,3
Kamchatsky,3
or,1
other,2
Hakodate,1
which,3
occasionally,1
do,1
freeze,1
short,1
periods,1
due,2
to,10
lower,1
salinity,1
Sea,2
For,1
this,1
reason,1
was,9
considered,1
valuable,1
target,1
Tsars,1
Russo,1
Japanese,3
Wars,1
but,2
only,2
became,1
really,1
1920s,1
growth,1
commercial,1
fishing,1
its,5
reliable,1
freedom,1
from,7
reduced,1
costs,1
In,4
addition,2
serviced,1
by,7
Airport,2
flights,1
Honshu,1
zora,1
limited,1
express,1
train,1
service,1
runs,1
six,1
times,1
per,3
day,1
main,1
population,3
centres,1
west,1
Following,1
Invasion,1
Kuril,3
Islands,3
August,2
1945,1
favoured,1
Russians,1
cornerstone,2
border,1
between,2
American,1
occupied,2
south,1
Soviet,1
north,2
coupled,1
Rumoi,1
western,1
However,1
these,1
plans,1
were,1
cancelled,1
after,1
pressure,1
US,1
President,1
Harry,1
S,1
Truman,1
On,2
October,1
11,1
2005,2
town,3
Akan,9
District,3
Onbetsu,3
Shiranuka,3
merged,3
into,2
The,3
now,2
lies,1
two,1
sections,1
2008,1
had,1
estimated,2
189,1
539,1
total,1
area,1
1,2
362,1
75,1
km2,2
526,1
16,1
sq,2
mi,2
giving,1
density,1
140,1
persons,2
363,1
one,2
many,2
cities,3
receive,1
Peace,1
Pagoda,1
Built,1
monks,1
nuns,1
Buddhist,1
order,1
Nipponzan,1
Myohoji,1
inaugurated,1
1959,1
accorded,1
status,1
1922,2
sister,1
Burnaby,2
British,2
Columbia,2
Russia,4
Kholmsk,2
1869,1
Kusuri,1
becomes,4
1900,1
First,1
Class,1
Municipality,1
Town,5
1920,1
ku,2
Village,1
splits,1
off,1
City,4
1949,1
Tottori,3
cho,1
old,1
expanded,1
Geography,1
Mountains,1
Mount,3
Oakan,1
Meakan,1
Fuji,2
Rivers,1
River,3
Shitakara,1
Lakes,1
Lake,5
Harutori,1
Panket,1
Penket,1
Shunkushitakara,1
National,6
Parks,1
shitsugen,1
Park,2
Climate,1
humid,1
continental,1
climate,1
Dfb,1
temperatures,1
are,3
less,1
severe,1
those,1
inland,1
Asia,3
at,1
same,1
latitude,1
Its,1
throughout,1
all,2
lack,1
indentation,1
coastline,1
absence,1
large,1
inflows,1
cold,1
fresh,1
nearby,1
also,1
markedly,1
sunnier,1
extremely,1
gloomy,1
being,1
sheltered,1
mountains,1
heavy,1
snowfalls,1
produced,1
side,1
Aleutian,1
Low,1
receives,1
third,1
much,2
snowfall,1
Sapporo,1
almost,1
twice,1
sunshine,1
Education,2
Universities,1
University,2
Campus,2
Public,3
Economics,1
Colleges,1
Institute,1
Technology,1
college,1
Private,2
junior,1
College,1
High,10
schools,1
Koryo,1
School,9
Konan,1
Meiki,1
Commercial,1
Technical,1
Hokuyo,1
Municipal,1
Bushukan,1
Ikegami,1
Gakuen,1
Transportation,2
Port,2
JR,1
Nemuro,1
Main,2
Line,3
Chok,1
Otanoshike,2
Shin,2
Higashi,2
Musa,1
Senm,1
Taiheiy,1
Coal,1
Services,1
Rink,1
Sports,1
Ice,2
hockey,3
popular,1
sports,1
several,1
leagues,1
devoted,1
amateur,1
play,1
ages,1
home,1
League,2
Hockey,1
Nippon,1
Paper,1
Cranes,1
three,2
time,1
Champions,1
interested,1
hosting,1
bandy,2
teams,2
January,2
8,1
2017,1
township,1
hosted,1
first,2
national,2
championship,2
although,1
size,1
field,3
smaller,1
version,1
official,1
rules,1
2018,1
full,1
sized,1
took,1
place,1
Shintoku,1
participation,1
including,1
FACEOFF,1
team,1
women,1
based,1
made,1
World,1
Championship,1
debut,1
2020,1
Notable,1
people,1
Kazuhiko,1
Chiba,1
footballer,1
Yutaka,1
Fukufuji,1
goaltender,1
Yukinobu,1
Hoshino,1
manga,2
artist,3
Akira,1
Ifukube,1
composer,1
Keisuke,1
Itagaki,1
Saori,1
Kitakaze,1
sprinter,1
Satoshi,1
Kon,1
anime,1
film,2
director,2
Luna,1
H,1
Mitani,1
visual,1
Hiromi,1
Nagakura,1
photographer,1
Maki,1
Nomiya,1
singer,1
Pizzicato,1
Five,1
Shinji,1
Somai,1
Aina,1
Takeuchi,1
defenseman,1
Kazuro,1
Watanabe,1
astronomer,1
Sister,1
Yuzawa,1
Akita,1
since,6
1963,2
Canada,1
1965,1
Kholmsky,1
Sakhalin,1
Oblast,1
1975,1
Kamchatka,1
Krai,1
1998,1
Stephens,1
New,1
South,1
Wales,1
Australia,1
1994,1
References,1
External,1
links,1
travel,1
guide,1
Wikivoyage,1
Official,1
Website,1
