word,count
,2
Otaru,36
shi,1
is,24
a,23
city,13
and,43
port,6
in,26
Shiribeshi,4
Subprefecture,3
Hokkaido,10
Japan,6
northwest,1
of,50
Sapporo,7
The,15
faces,1
Ishikari,3
Bay,1
the,71
Sea,2
has,5
long,1
served,1
as,18
main,1
bay,1
With,1
its,3
many,1
historical,1
buildings,2
popular,4
tourist,1
destination,1
Because,1
it,5
25,2
minute,1
drive,1
from,11
recently,1
grown,1
bedroom,1
community,1
As,1
July,3
31,1
2019,1
an,4
estimated,1
population,2
115,1
333,1
density,1
474,1
37,1
persons,2
per,2
km2,2
1,4
228,1
6,3
sq,2
mi,2
total,1
area,2
243,1
13,1
93,1
87,1
Although,1
largest,1
subprefecture,1
s,5
capital,1
more,1
centrally,1
located,1
Kutchan,1
History,1
was,8
Ainu,4
habitation,1
name,2
recognised,2
being,2
origin,1
possibly,1
meaning,1
River,1
running,1
through,2
sandy,1
beach,1
very,3
small,1
remaining,1
part,4
Temiya,2
Cave,3
contains,1
carvings,1
Zoku,1
J,1
mon,1
period,2
history,1
around,3
A,3
D,1
400,1
Mount,2
Akaiwa,2
Northwest,1
memorized,1
tradition,1
story,1
Sitonai,1
village,4
chief,1
teenage,1
daughter,1
who,1
had,1
slain,1
white,1
snake,2
mountain,3
cave,2
that,3
demanded,1
sacrifices,1
girls,1
every,1
year,1
legend,1
explains,1
big,1
on,9
Hakuryu,1
Gongen,2
lit,1
White,1
Dragon,1
reason,1
why,1
shrine,1
built,3
to,10
protect,1
haunted,1
by,4
bakufu,1
1865,1
1880,1
first,2
railway,1
line,1
opened,1
with,7
daily,1
service,1
between,3
An,1
Imperial,1
decree,1
1899,1
established,1
open,1
for,6
trading,1
United,2
States,1
Kingdom,1
flourished,1
well,4
financial,1
business,1
center,1
trade,1
Japanese,22
ruled,1
southern,3
Sakhalin,1
until,1
1920s,1
redesignated,1
August,2
1922,1
On,1
December,1
26,1
1924,1
freight,1
train,1
loaded,1
600,1
cases,1
dynamite,1
exploded,1
Station,3
damaging,1
warehouse,1
harbour,1
facilities,1
surrounding,1
Local,1
officials,1
stated,1
at,1
least,1
94,1
were,1
killed,1
200,1
injured,1
this,2
disaster,1
During,1
WWII,1
housed,1
prison,1
camp,1
Aleuts,1
taken,1
there,1
following,1
occupation,1
Attu,1
Since,1
1950s,1
coal,1
industry,2
went,1
into,1
decline,1
status,1
economic,1
hub,1
shifted,1
Geography,1
town,3
coast,2
northern,1
portion,1
characterized,1
steep,1
slopes,3
various,1
mountains,3
notably,1
Tenguyama,4
where,1
altitude,1
land,2
sharply,1
drops,1
sea,1
available,1
been,2
almost,2
completely,1
developed,2
called,1
Saka,1
no,1
machi,1
or,1
Hill,3
including,1
hills,1
named,1
Funamizaka,1
Boat,1
view,1
Jigokuzaka,1
Hell,1
Neighboring,1
cities,2
towns,1
Yoichi,2
District,2
Akaigawa,1
Teine,1
ku,2
Minami,2
Rivers,1
Some,1
rivers,1
are,3
Hoshioki,1
Kiraichi,1
Zenibako,2
Hariusu,1
Asari,2
Katsunai,1
Shioya,2
Myoken,1
Irifune,1
List,1
mayors,1
1923,1
present,1
Climate,1
In,2
summer,1
weather,1
like,1
all,1
western,1
warm,1
balmy,1
maximum,2
temperature,1
C,3
77,1
F,3
high,1
humidity,1
not,1
hot,1
winter,2
however,1
snowy,1
receiving,1
much,1
metres,3
260,1
snow,2
November,1
March,1
when,1
snows,1
constantly,1
sunshine,1
levels,1
extremely,1
low,1
average,1
cover,1
22,1
48,1
Extreme,1
temperatures,1
have,3
ranged,2
36,1
2,2
97,1
28,1
2021,1
18,1
0,5
4,1
January,1
24,1
1954,1
which,1
month,1
highest,1
snowfall,1
3,1
122,1
occurred,1
Monthly,1
precipitation,1
totals,1
record,1
dating,1
back,1
1943,1
379,1
8,1
millimetres,2
15,1
1962,1
12,1
5,1
June,1
2007,1
Transportation,1
JR,1
Hakodate,1
Main,1
Line,1
Ranshima,1
Chikk,1
Education,1
Universities,1
National,1
University,2
Commerce,2
High,9
schools,1
Public,1
Choryo,1
School,8
Ouyou,1
Commercial,1
Technical,1
Fisheries,1
Private,1
Futaba,1
Gakuen,1
Hokusho,1
Meihou,1
Notable,2
attractions,1
canal,2
adorned,1
Victorian,1
style,1
street,1
lamps,1
runs,1
attracts,1
large,2
number,1
tourists,1
Russian,1
visitors,1
attraction,2
west,1
side,1
Nishin,1
Goten,1
herring,1
mansion,1
This,1
wooden,1
building,2
1897,1
once,1
house,1
Fukumatsu,1
Tanaka,1
magnate,2
fishing,1
It,2
originally,1
nearby,2
Tomari,1
moved,1
1958,1
Visitors,1
can,1
clearly,1
see,1
difference,1
squalid,1
conditions,1
floor,2
sleeping,1
quarters,1
120,1
workers,1
ground,1
luxury,1
rooms,1
Another,2
notable,1
Sakaushi,1
residence,1
constructed,1
Yoshiya,1
Tanoue,1
pupil,1
Frank,1
Lloyd,1
Wright,1
Tomioka,1
Catholic,1
church,1
also,4
spot,1
Many,1
designated,1
landmark,1
architecture,1
known,2
beer,1
Beer,1
next,1
restaurant,1
medieval,1
theme,1
freshness,1
sushi,1
food,1
unique,1
rainbow,1
tower,1
ice,1
cream,1
substantial,1
shopping,1
arcades,1
bazaars,1
but,1
fewer,1
than,1
prominent,1
industries,1
arts,2
crafts,1
such,1
studio,1
glass,1
musical,1
boxes,1
Of,1
latter,1
maintains,1
Music,1
Box,1
Museum,1
important,1
hilly,1
lower,1
good,1
place,1
skiing,1
other,1
sports,1
one,1
accessible,1
via,1
Ropeway,1
Sister,1
Nakhodka,1
Russia,1
Dunedin,1
New,1
Zealand,1
Gangseo,1
Seoul,1
South,1
Korea,1
people,1
Seiji,1
Aochi,1
ski,4
jumper,3
Olympic,1
medalist,1
1972,1
Winter,1
Olympics,1
Y,1
ko,1
Asagami,1
voice,1
actress,6
Space,1
Battleship,1
Yamato,1
City,1
Hunter,1
Gennosuke,1
Fuse,1
anatomist,1
Meiji,1
Sei,1
poet,1
novelist,1
translator,1
Chiaki,1
Kawamata,1
science,1
fiction,1
