word,count
,1
Sapporo,161
shi,3
IPA,1
sap,1
o,2
i,1
is,44
a,66
city,26
in,117
Japan,12
It,11
the,242
largest,3
north,2
of,143
Tokyo,3
and,131
on,14
Hokkaido,59
northernmost,1
main,4
island,3
country,2
capital,3
Prefecture,2
Ishikari,10
Subprefecture,2
lies,1
southwest,2
within,3
alluvial,2
fan,2
Toyohira,7
River,8
which,17
tributary,2
stream,2
considered,1
cultural,1
economic,1
political,1
center,2
As,4
with,24
most,1
area,9
was,61
settled,3
by,22
indigenous,2
Ainu,2
people,7
beginning,1
over,6
15,2
000,3
years,2
ago,1
Starting,1
late,1
19th,1
century,3
saw,1
increasing,1
settlement,1
Yamato,1
migrants,1
hosted,10
1972,5
Winter,13
Olympics,13
first,7
ever,1
held,11
Asia,2
second,2
Olympic,5
games,7
after,4
1964,1
Summer,2
currently,5
bidding,1
for,16
2030,3
The,84
Dome,11
three,7
during,4
2002,5
FIFA,3
World,9
Cup,5
two,4
2019,3
Rugby,2
Additionally,1
has,16
Asian,3
Games,4
times,1
1986,2
1990,3
2017,4
annual,4
Snow,4
Festival,16
draws,2
more,1
than,3
2,4
million,2
tourists,2
from,11
abroad,1
Other,4
notable,1
sites,5
include,6
Beer,2
Museum,14
only,2
beer,2
museum,2
TV,2
Tower,4
located,8
Odori,12
Park,22
home,5
to,62
University,25
just,1
Station,3
served,3
Okadama,3
Airport,6
New,3
Chitose,7
nearby,1
Etymology,1
s,13
name,3
taken,2
Ainuic,1
sat,1
poro,1
pet,1
can,1
be,7
translated,1
as,29
dry,1
great,2
river,2
reference,1
History,1
Early,1
history,1
Before,1
its,8
establishment,1
occupied,2
known,5
Plain,3
number,6
settlements,1
In,21
1866,1
at,12
end,1
Edo,1
period,1
construction,3
began,3
canal,1
through,3
encouraging,1
early,1
settlers,1
establish,2
village,3
1868,1
officially,2
recognized,1
year,13
celebrated,1
birth,1
new,4
Meiji,1
government,7
concluded,1
that,9
existing,1
administrative,1
time,3
port,1
Hakodate,6
an,12
unsuitable,1
location,2
defense,1
further,1
development,1
result,2
it,5
determined,1
should,1
established,6
plain,1
itself,1
provided,1
unusually,1
large,2
expanse,1
flat,1
well,3
drained,1
land,4
relatively,1
uncommon,1
otherwise,1
mountainous,1
geography,1
During,1
1870,1
1871,1
Kuroda,1
Kiyotaka,1
vice,2
chairman,1
Development,2
Commission,2
Kaitaku,2
approached,1
American,4
